delta,epsilon,avg,max_surprise
1,0,0.0428452,0.155945
0.62,0.44,1.15186,252.984
0.56,0.18,1.01774,18.499
0.81,0.22,1.03628,803.649
0.87,0.48,1.08289,1875.58
0.68,0.7,2.13893,3232.31
0.93,0.74,0.749614,14351.9
0.74,0.96,22.6115,507090
0.62,0.42,1.15101,510.868
0.81,0.2,1.01995,639.278
0.87,0.46,2.87168,125651
0.56,0.16,1.01385,11.6529
0.99,0.98,0.0101689,86.8708
0.93,0.72,0.598951,2396.08
0.68,0.68,1.81591,2674.4
0.74,0.94,11.2207,84007.9
0.62,0.4,1.15322,662.671
0.81,0.18,1.06108,561.389
0.87,0.44,1.1536,6557.79
0.56,0.14,1.00954,8.71962
0.68,0.66,1.64819,4231.64
0.99,0.96,0.0113037,84.8101
0.93,0.7,1.21798,17896
0.74,0.92,11.7554,235674
0.56,0.12,1.0092,9.50335
0.87,0.42,1.09301,4906.8
0.81,0.16,1.00001,515.537
0.62,0.38,1.09911,221.831
0.99,0.94,0.0091979,78.7672
0.74,0.9,38.4063,1.60378e+06
0.93,0.68,1.12426,12740.3
0.68,0.64,1.6429,3634.33
0.56,0.1,1.00568,6.35039
0.81,0.14,1.0669,982.969
0.87,0.4,1.1015,5810.45
0.62,0.36,1.1221,280.546
0.99,0.92,0.0722617,2139.35
0.74,0.88,13.2359,273454
0.93,0.66,0.889094,11021.5
0.68,0.62,1.41001,2314.53
0.81,0.12,1.12835,1824.8
0.62,0.34,1.07496,161.012
0.87,0.38,1.10941,4287.42
0.56,0.08,0.999772,5.52812
0.93,0.64,1.06068,12957.6
0.68,0.6,1.49957,1145.23
0.99,0.9,0.0387615,1767.56
0.74,0.86,12.7448,534617
0.62,0.32,1.08637,59.8139
0.81,0.1,1.00782,596.406
0.56,0.06,1.00278,5.18123
0.87,0.36,0.990625,1171.35
0.68,0.58,1.51998,3126.01
0.93,0.62,0.858937,10978.1
0.62,0.3,1.05445,71.3886
0.99,0.88,0.0937455,4733.32
0.74,0.84,3.59182,32101.5
0.81,0.08,1.00267,689.962
0.56,0.04,1.00081,4.53803
0.87,0.34,1.25414,3905.98
0.68,0.56,1.30205,794.584
0.93,0.6,1.81594,53997.3
0.62,0.28,1.04934,115.737
0.81,0.06,0.972657,267.95
0.74,0.82,3.64384,23310.6
0.87,0.32,1.10256,7899.3
0.68,0.54,1.44581,2206.81
0.93,0.58,1.23029,9129.09
0.56,0.02,0.999091,3.85254
0.99,0.86,0.210941,5343.04
